Preparing dual model
Compiling model via torch.compile …
Setting up [LPIPS] perceptual loss: trunk [vgg], v[0.1], spatial [off]
Loading model from: /home/chen4848/.conda/envs/2025.06-py313/dl/lib/python3.12/site-packages/lpips/weights/v0.1/vgg.pth
Starting from scratch.
Creating dataset
Training started

	Loss =          0.0117		PSNR = 15.20
	Loss =          0.0117		PSNR = 15.19
	Loss =          0.0117		PSNR = 15.16
	Loss =          0.0117		PSNR = 15.16
	Loss =          0.0117		PSNR = 15.18
	Loss =          0.0117		PSNR = 15.18
Epoch #7: Loss =       0.3753 		PSNR = 15.17	(Time: 204.659386)

	Loss =          0.0119		PSNR = 14.96
	Loss =          0.0118		PSNR = 15.02
	Loss =          0.0118		PSNR = 15.07
	Loss =          0.0117		PSNR = 15.01
	Loss =          0.0117		PSNR = 15.01
	Loss =          0.0117		PSNR = 15.13
	Loss =          0.0117		PSNR = 15.10
	Loss =          0.0117		PSNR = 15.12
	Loss =          0.0117		PSNR = 15.17
	Loss =          0.0117		PSNR = 15.20
	Loss =          0.0117		PSNR = 15.18
	Loss =          0.0117		PSNR = 15.20
	Loss =          0.0116		PSNR = 15.22
	Loss =          0.0116		PSNR = 15.22
	Loss =          0.0116		PSNR = 15.16
	Loss =          0.0116		PSNR = 15.17
	Loss =          0.0116		PSNR = 15.15
	Loss =          0.0116		PSNR = 15.18
	Loss =          0.0116		PSNR = 15.15
	Loss =          0.0116		PSNR = 15.15
	Loss =          0.0116		PSNR = 15.12
Epoch #8: Loss =       0.3727 		PSNR = 15.12	(Time: 203.630575)

	Loss =          0.0117		PSNR = 14.99
	Loss =          0.0117		PSNR = 14.95
	Loss =          0.0117		PSNR = 14.97
	Loss =          0.0117		PSNR = 14.99
	Loss =          0.0117		PSNR = 14.95
	Loss =          0.0117		PSNR = 14.95
	Loss =          0.0117		PSNR = 14.93
	Loss =          0.0116		PSNR = 15.03
	Loss =          0.0116		PSNR = 15.06
	Loss =          0.0116		PSNR = 15.08
	Loss =          0.0116		PSNR = 15.11
	Loss =          0.0116		PSNR = 15.09
	Loss =          0.0116		PSNR = 15.09
	Loss =          0.0116		PSNR = 15.07
	Loss =          0.0116		PSNR = 15.08
	Loss =          0.0116		PSNR = 15.09
	Loss =          0.0116		PSNR = 15.08
	Loss =          0.0116		PSNR = 15.09
	Loss =          0.0116		PSNR = 15.10
	Loss =          0.0116		PSNR = 15.10
	Loss =          0.0116		PSNR = 15.09
Epoch #9: Loss =       0.3721 		PSNR = 15.08	(Time: 202.726823)

	Loss =          0.0117		PSNR = 15.17
	Loss =          0.0117		PSNR = 14.86
	Loss =          0.0116		PSNR = 15.08
	Loss =          0.0116		PSNR = 15.22
	Loss =          0.0116		PSNR = 15.31
	Loss =          0.0116		PSNR = 15.26
	Loss =          0.0116		PSNR = 15.27
	Loss =          0.0116		PSNR = 15.25
	Loss =          0.0116		PSNR = 15.26
	Loss =          0.0116		PSNR = 15.24
	Loss =          0.0116		PSNR = 15.22
	Loss =          0.0116		PSNR = 15.25
	Loss =          0.0116		PSNR = 15.23
	Loss =          0.0117		PSNR = 15.29
	Loss =          0.0117		PSNR = 15.28
	Loss =          0.0117		PSNR = 15.27
	Loss =          0.0117		PSNR = 15.29
	Loss =          0.0117		PSNR = 15.30
	Loss =          0.0118		PSNR = 15.29
	Loss =          0.0118		PSNR = 15.29
	Loss =          0.0118		PSNR = 15.31
Epoch #10: Loss =       0.3782 		PSNR = 15.29	(Time: 198.728570)

	Loss =          0.0125		PSNR = 14.59
	Loss =          0.0123		PSNR = 14.93
	Loss =          0.0122		PSNR = 14.80
	Loss =          0.0121		PSNR = 15.01
	Loss =          0.0121		PSNR = 15.02
	Loss =          0.0121		PSNR = 15.03
	Loss =          0.0121		PSNR = 15.05
	Loss =          0.0121		PSNR = 15.05
	Loss =          0.0120		PSNR = 15.06
	Loss =          0.0120		PSNR = 15.14
	Loss =          0.0120		PSNR = 15.15
