
Total Student params = 223475
Configuration:
nbits=20, nbits_data=10, batch_sz=8, read_noise=0, num_epochs=600
Teacher Model: HDR_model (dim=32, num_blocks=[4, 4, 4, 4])
Student Model: Hybrid_Student_HDR (dim=8, num_blocks=[2, 2, 2, 1], num_refinement=2, heads=[1, 2, 4, 8])
Loss Weights: alpha=1, gamma=0.001



Epoch #80: Loss =       0.0770 		PSNR = 32.65	(Time: 35.938792)
Epoch #81: Loss =       0.0773 		PSNR = 32.59	(Time: 35.836447)
Epoch #82: Loss =       0.0772 		PSNR = 32.59	(Time: 35.876379)
Epoch #83: Loss =       0.0772 		PSNR = 32.59	(Time: 35.927789)
Epoch #84: Loss =       0.0772 		PSNR = 32.60	(Time: 35.940453)
Epoch #85: Loss =       0.0771 		PSNR = 32.60	(Time: 35.983826)
Epoch #86: Loss =       0.0772 		PSNR = 32.55	(Time: 35.822732)
Epoch #87: Loss =       0.0772 		PSNR = 32.55	(Time: 35.962808)
Epoch #88: Loss =       0.0772 		PSNR = 32.56	(Time: 35.969749)
Epoch #89: Loss =       0.0771 		PSNR = 32.56	(Time: 35.989167)
Epoch #90: Loss =       0.0771 		PSNR = 32.56	(Time: 35.964876)
Epoch #91: Loss =       0.0768 		PSNR = 32.71	(Time: 35.875815)
Epoch #92: Loss =       0.0768 		PSNR = 32.71	(Time: 35.872749)
Epoch #93: Loss =       0.0767 		PSNR = 32.71	(Time: 35.987502)
Epoch #94: Loss =       0.0767 		PSNR = 32.71	(Time: 35.997831)
Epoch #95: Loss =       0.0767 		PSNR = 32.71	(Time: 35.971820)
Epoch #96: Loss =       0.0766 		PSNR = 32.67	(Time: 35.858894)
Epoch #97: Loss =       0.0766 		PSNR = 32.68	(Time: 35.960819)
Epoch #98: Loss =       0.0766 		PSNR = 32.68	(Time: 36.026904)
Epoch #99: Loss =       0.0766 		PSNR = 32.68	(Time: 35.951758)
Epoch #100: Loss =       0.0765 		PSNR = 32.68	(Time: 35.949820)
Epoch #101: Loss =       0.0789 		PSNR = 32.69	(Time: 35.788476)
Epoch #102: Loss =       0.0773 		PSNR = 32.75	(Time: 35.873865)
Epoch #103: Loss =       0.0772 		PSNR = 32.77	(Time: 35.878770)
Epoch #104: Loss =       0.0767 		PSNR = 32.80	(Time: 35.921001)
Epoch #105: Loss =       0.0765 		PSNR = 32.82	(Time: 35.699080)
Epoch #106: Loss =       0.0765 		PSNR = 32.79	(Time: 35.796700)
Epoch #107: Loss =       0.0760 		PSNR = 32.81	(Time: 35.781667)
Epoch #108: Loss =       0.0760 		PSNR = 32.83	(Time: 36.000633)
Epoch #109: Loss =       0.0757 		PSNR = 32.85	(Time: 35.957761)
Epoch #110: Loss =       0.0759 		PSNR = 32.86	(Time: 36.032451)
Epoch #111: Loss =       0.0744 		PSNR = 33.06	(Time: 35.829245)
Epoch #112: Loss =       0.0743 		PSNR = 33.07	(Time: 35.911893)
Epoch #113: Loss =       0.0739 		PSNR = 33.10	(Time: 35.954656)
Epoch #114: Loss =       0.0737 		PSNR = 33.11	(Time: 35.902093)
Epoch #115: Loss =       0.0734 		PSNR = 33.14	(Time: 35.909404)
Epoch #116: Loss =       0.0740 		PSNR = 33.02	(Time: 35.844989)
Epoch #117: Loss =       0.0738 		PSNR = 33.03	(Time: 35.944347)
Epoch #118: Loss =       0.0736 		PSNR = 33.06	(Time: 35.941225)
Epoch #119: Loss =       0.0733 		PSNR = 33.08	(Time: 35.952733)
Epoch #120: Loss =       0.0734 		PSNR = 33.09	(Time: 35.945705)
Epoch #121: Loss =       0.0727 		PSNR = 33.07	(Time: 35.837669)
Epoch #122: Loss =       0.0726 		PSNR = 33.08	(Time: 35.852368)
Epoch #123: Loss =       0.0726 		PSNR = 33.08	(Time: 35.954710)
Epoch #124: Loss =       0.0725 		PSNR = 33.09	(Time: 35.961670)
Epoch #125: Loss =       0.0725 		PSNR = 33.10	(Time: 35.966200)
Epoch #126: Loss =       0.0723 		PSNR = 33.18	(Time: 35.852659)
Epoch #127: Loss =       0.0721 		PSNR = 33.19	(Time: 35.821751)
Epoch #128: Loss =       0.0721 		PSNR = 33.20	(Time: 35.912388)
Epoch #129: Loss =       0.0719 		PSNR = 33.21	(Time: 36.083847)
Epoch #130: Loss =       0.0719 		PSNR = 33.21	(Time: 35.980011)
Epoch #131: Loss =       0.0713 		PSNR = 33.29	(Time: 37.543474)
Epoch #132: Loss =       0.0711 		PSNR = 33.30	(Time: 37.111871)
Epoch #133: Loss =       0.0710 		PSNR = 33.31	(Time: 37.154879)
Epoch #134: Loss =       0.0709 		PSNR = 33.32	(Time: 37.187793)
Epoch #135: Loss =       0.0710 		PSNR = 33.33	(Time: 37.252633)
Epoch #136: Loss =       0.0706 		PSNR = 33.41	(Time: 36.563204)
Epoch #137: Loss =       0.0704 		PSNR = 33.41	(Time: 36.032488)
Epoch #138: Loss =       0.0705 		PSNR = 33.42	(Time: 35.975977)
Epoch #139: Loss =       0.0703 		PSNR = 33.42	(Time: 35.855376)
Epoch #140: Loss =       0.0704 		PSNR = 33.43	(Time: 35.887048)
Epoch #141: Loss =       0.0706 		PSNR = 33.25	(Time: 35.828456)
Epoch #142: Loss =       0.0706 		PSNR = 33.25	(Time: 35.905986)
Epoch #143: Loss =       0.0705 		PSNR = 33.26	(Time: 35.862371)
Epoch #144: Loss =       0.0706 		PSNR = 33.26	(Time: 35.988657)
Epoch #145: Loss =       0.0705 		PSNR = 33.27	(Time: 35.944417)
Epoch #146: Loss =       0.0705 		PSNR = 33.27	(Time: 35.801740)
Epoch #147: Loss =       0.0705 		PSNR = 33.28	(Time: 35.851114)
Epoch #148: Loss =       0.0704 		PSNR = 33.28	(Time: 35.956342)
Epoch #149: Loss =       0.0704 		PSNR = 33.29	(Time: 35.944245)
Epoch #150: Loss =       0.0703 		PSNR = 33.29	(Time: 35.989741)
Epoch #151: Loss =       0.0703 		PSNR = 33.30	(Time: 35.683434)
Epoch #152: Loss =       0.0703 		PSNR = 33.30	(Time: 35.851675)
Epoch #153: Loss =       0.0703 		PSNR = 33.30	(Time: 36.015415)
Epoch #154: Loss =       0.0703 		PSNR = 33.31	(Time: 35.972559)
Epoch #155: Loss =       0.0702 		PSNR = 33.31	(Time: 36.007375)
Epoch #156: Loss =       0.0704 		PSNR = 33.27	(Time: 35.883037)
Epoch #157: Loss =       0.0703 		PSNR = 33.27	(Time: 35.930563)
Epoch #158: Loss =       0.0703 		PSNR = 33.27	(Time: 35.989725)
Epoch #159: Loss =       0.0703 		PSNR = 33.27	(Time: 35.966935)
Epoch #160: Loss =       0.0703 		PSNR = 33.28	(Time: 35.964638)
Epoch #161: Loss =       0.0702 		PSNR = 33.26	(Time: 35.823805)
Epoch #162: Loss =       0.0702 		PSNR = 33.26	(Time: 35.870462)
Epoch #163: Loss =       0.0702 		PSNR = 33.26	(Time: 35.898465)
Epoch #164: Loss =       0.0701 		PSNR = 33.26	(Time: 36.028441)
Epoch #165: Loss =       0.0701 		PSNR = 33.26	(Time: 35.962458)
Epoch #166: Loss =       0.0701 		PSNR = 33.26	(Time: 35.871896)
Epoch #167: Loss =       0.0701 		PSNR = 33.26	(Time: 35.925563)
Epoch #168: Loss =       0.0701 		PSNR = 33.27	(Time: 36.011138)
Epoch #169: Loss =       0.0701 		PSNR = 33.27	(Time: 36.020854)
Epoch #170: Loss =       0.0701 		PSNR = 33.27	(Time: 35.941007)
Epoch #171: Loss =       0.0702 		PSNR = 33.31	(Time: 35.814135)
Epoch #172: Loss =       0.0702 		PSNR = 33.31	(Time: 35.989290)
Epoch #173: Loss =       0.0702 		PSNR = 33.31	(Time: 35.968708)
Epoch #174: Loss =       0.0702 		PSNR = 33.31	(Time: 35.954760)
Epoch #175: Loss =       0.0702 		PSNR = 33.31	(Time: 35.899102)
Epoch #176: Loss =       0.0699 		PSNR = 33.43	(Time: 35.924633)
Epoch #177: Loss =       0.0699 		PSNR = 33.43	(Time: 35.929625)
Epoch #178: Loss =       0.0698 		PSNR = 33.44	(Time: 35.891513)
Epoch #179: Loss =       0.0698 		PSNR = 33.44	(Time: 35.932445)
Epoch #180: Loss =       0.0698 		PSNR = 33.44	(Time: 35.947544)
Epoch #181: Loss =       0.0701 		PSNR = 33.32	(Time: 35.328056)
Epoch #182: Loss =       0.0701 		PSNR = 33.32	(Time: 35.872759)
Epoch #183: Loss =       0.0700 		PSNR = 33.32	(Time: 36.133421)
Epoch #184: Loss =       0.0700 		PSNR = 33.32	(Time: 36.118433)
Epoch #185: Loss =       0.0700 		PSNR = 33.32	(Time: 36.049875)
Epoch #186: Loss =       0.0698 		PSNR = 33.34	(Time: 36.023379)
Epoch #187: Loss =       0.0698 		PSNR = 33.34	(Time: 35.998949)
Epoch #188: Loss =       0.0698 		PSNR = 33.34	(Time: 36.102180)
Epoch #189: Loss =       0.0698 		PSNR = 33.34	(Time: 36.038495)
Epoch #190: Loss =       0.0698 		PSNR = 33.34	(Time: 36.002755)
Epoch #191: Loss =       0.0699 		PSNR = 33.41	(Time: 35.901711)
Epoch #192: Loss =       0.0699 		PSNR = 33.41	(Time: 35.964847)
Epoch #193: Loss =       0.0698 		PSNR = 33.41	(Time: 36.011366)
Epoch #194: Loss =       0.0698 		PSNR = 33.41	(Time: 36.034696)
Epoch #195: Loss =       0.0698 		PSNR = 33.41	(Time: 35.557110)
Epoch #196: Loss =       0.0700 		PSNR = 33.39	(Time: 35.989048)
Epoch #197: Loss =       0.0700 		PSNR = 33.39	(Time: 36.072848)
Epoch #198: Loss =       0.0700 		PSNR = 33.39	(Time: 35.484395)
Epoch #199: Loss =       0.0700 		PSNR = 33.39	(Time: 36.081712)
Epoch #200: Loss =       0.0699 		PSNR = 33.40	(Time: 36.109472)
Epoch #201: Loss =       0.0707 		PSNR = 33.35	(Time: 35.389119)
Epoch #202: Loss =       0.0701 		PSNR = 33.37	(Time: 36.006818)
Epoch #203: Loss =       0.0701 		PSNR = 33.37	(Time: 36.026731)
Epoch #204: Loss =       0.0702 		PSNR = 33.37	(Time: 36.287134)
Epoch #205: Loss =       0.0698 		PSNR = 33.39	(Time: 36.090161)
Epoch #206: Loss =       0.0698 		PSNR = 33.43	(Time: 35.982223)
Epoch #207: Loss =       0.0698 		PSNR = 33.43	(Time: 36.021286)
Epoch #208: Loss =       0.0698 		PSNR = 33.44	(Time: 36.064145)
Epoch #209: Loss =       0.0696 		PSNR = 33.45	(Time: 36.026500)
Epoch #210: Loss =       0.0695 		PSNR = 33.45	(Time: 36.000810)
Epoch #211: Loss =       0.0700 		PSNR = 33.42	(Time: 35.910780)
Epoch #212: Loss =       0.0700 		PSNR = 33.43	(Time: 36.023982)
Epoch #213: Loss =       0.0698 		PSNR = 33.44	(Time: 36.021063)
Epoch #214: Loss =       0.0698 		PSNR = 33.44	(Time: 35.496235)
Epoch #215: Loss =       0.0698 		PSNR = 33.45	(Time: 36.044383)
Epoch #216: Loss =       0.0695 		PSNR = 33.49	(Time: 36.050388)
Epoch #217: Loss =       0.0694 		PSNR = 33.50	(Time: 35.461632)
Epoch #218: Loss =       0.0695 		PSNR = 33.50	(Time: 36.026295)
Epoch #219: Loss =       0.0693 		PSNR = 33.51	(Time: 36.047178)
Epoch #220: Loss =       0.0694 		PSNR = 33.52	(Time: 36.090082)
Epoch #221: Loss =       0.0693 		PSNR = 33.55	(Time: 35.883068)
Epoch #222: Loss =       0.0693 		PSNR = 33.55	(Time: 35.964343)
