
Total params = 3405974

Epoch #84: Loss =      50.8948 		PSNR = 36.00	(Time: 57.860119)
Epoch #85: Loss =      49.0980 		PSNR = 36.08	(Time: 57.903110)
Epoch #86: Loss =      49.0198 		PSNR = 35.98	(Time: 57.460548)
Epoch #87: Loss =      48.2758 		PSNR = 36.05	(Time: 57.805069)
Epoch #88: Loss =      49.5348 		PSNR = 35.93	(Time: 57.794049)
Epoch #89: Loss =      47.9812 		PSNR = 36.03	(Time: 57.681615)
Epoch #90: Loss =      47.5612 		PSNR = 36.04	(Time: 59.049539)
Epoch #91: Loss =      52.3233 		PSNR = 36.15	(Time: 58.032680)
Epoch #92: Loss =      48.1122 		PSNR = 36.23	(Time: 57.512058)
Epoch #93: Loss =      49.2845 		PSNR = 36.22	(Time: 57.605959)
Epoch #94: Loss =      49.9431 		PSNR = 36.13	(Time: 57.347941)
Epoch #95: Loss =      48.0096 		PSNR = 36.21	(Time: 59.045678)
Epoch #96: Loss =      49.8443 		PSNR = 36.19	(Time: 57.442491)
Epoch #97: Loss =      47.3257 		PSNR = 36.26	(Time: 57.762909)
Epoch #98: Loss =      47.0661 		PSNR = 36.28	(Time: 57.770781)
Epoch #99: Loss =      48.8751 		PSNR = 36.25	(Time: 57.805262)
Epoch #100: Loss =      50.9233 		PSNR = 36.25	(Time: 59.416385)
Epoch #101: Loss =      46.6145 		PSNR = 36.24	(Time: 57.613504)
Epoch #102: Loss =      45.8488 		PSNR = 36.26	(Time: 57.811876)
Epoch #103: Loss =      46.3243 		PSNR = 36.26	(Time: 57.308094)
Epoch #104: Loss =      46.4314 		PSNR = 36.30	(Time: 57.623113)
Epoch #105: Loss =      45.6151 		PSNR = 36.29	(Time: 58.940391)
Epoch #106: Loss =      46.7257 		PSNR = 36.23	(Time: 57.420774)
Epoch #107: Loss =      45.3832 		PSNR = 36.22	(Time: 57.515239)
Epoch #108: Loss =      48.2785 		PSNR = 36.18	(Time: 57.511125)
Epoch #109: Loss =      44.3014 		PSNR = 36.24	(Time: 57.478757)
Epoch #110: Loss =      45.8150 		PSNR = 36.24	(Time: 59.151320)
Epoch #111: Loss =      47.5887 		PSNR = 36.44	(Time: 57.875138)
Epoch #112: Loss =      44.8047 		PSNR = 36.48	(Time: 57.504372)
Epoch #113: Loss =      45.2787 		PSNR = 36.44	(Time: 57.610477)
Epoch #114: Loss =      43.9998 		PSNR = 36.39	(Time: 57.460342)
Epoch #115: Loss =      44.5780 		PSNR = 36.44	(Time: 59.176685)
Epoch #116: Loss =      45.3688 		PSNR = 36.30	(Time: 58.024521)
Epoch #117: Loss =      43.6973 		PSNR = 36.37	(Time: 57.499546)
Epoch #118: Loss =      46.7120 		PSNR = 36.25	(Time: 57.544985)
Epoch #119: Loss =      45.9010 		PSNR = 36.32	(Time: 57.516921)
Epoch #120: Loss =      44.6321 		PSNR = 36.35	(Time: 58.968713)
Epoch #121: Loss =      46.7021 		PSNR = 36.29	(Time: 58.001093)
Epoch #122: Loss =      44.9400 		PSNR = 36.33	(Time: 57.173064)
Epoch #123: Loss =      44.5546 		PSNR = 36.32	(Time: 57.295963)
Epoch #124: Loss =      43.4809 		PSNR = 36.32	(Time: 59.241180)
Epoch #125: Loss =      44.2835 		PSNR = 36.31	(Time: 57.811313)
Epoch #126: Loss =      46.8407 		PSNR = 36.40	(Time: 57.909475)
Epoch #127: Loss =      44.8365 		PSNR = 36.48	(Time: 57.691333)
Epoch #128: Loss =      47.0465 		PSNR = 36.42	(Time: 57.534083)
Epoch #129: Loss =      46.4336 		PSNR = 36.47	(Time: 59.271855)
Epoch #130: Loss =      43.9876 		PSNR = 36.46	(Time: 57.561159)
Epoch #131: Loss =      44.0620 		PSNR = 36.53	(Time: 57.984393)
Epoch #132: Loss =      42.0505 		PSNR = 36.58	(Time: 57.739234)
Epoch #133: Loss =      42.8189 		PSNR = 36.61	(Time: 56.960547)
Epoch #134: Loss =      42.6125 		PSNR = 36.61	(Time: 57.516384)
Epoch #135: Loss =      42.2213 		PSNR = 36.59	(Time: 58.842072)
Epoch #136: Loss =      43.6747 		PSNR = 36.70	(Time: 57.269979)
Epoch #137: Loss =      42.5215 		PSNR = 36.69	(Time: 57.490808)
Epoch #138: Loss =      44.3835 		PSNR = 36.62	(Time: 57.852447)
Epoch #139: Loss =      42.2114 		PSNR = 36.65	(Time: 57.783334)
Epoch #140: Loss =      42.5335 		PSNR = 36.73	(Time: 59.258466)
Epoch #141: Loss =      43.4770 		PSNR = 36.50	(Time: 57.684598)
Epoch #142: Loss =      43.1442 		PSNR = 36.27	(Time: 57.693182)
Epoch #143: Loss =      42.5718 		PSNR = 36.38	(Time: 57.587705)
Epoch #144: Loss =      41.5376 		PSNR = 36.52	(Time: 57.494137)
Epoch #145: Loss =      46.5416 		PSNR = 36.40	(Time: 57.484063)
Epoch #146: Loss =      42.7032 		PSNR = 36.54	(Time: 57.258408)
Epoch #147: Loss =      41.5900 		PSNR = 36.56	(Time: 57.753492)
Epoch #148: Loss =      42.0958 		PSNR = 36.47	(Time: 57.652075)
Epoch #149: Loss =      41.5488 		PSNR = 36.52	(Time: 57.513267)
Epoch #150: Loss =      42.1524 		PSNR = 36.54	(Time: 57.722976)
Epoch #151: Loss =      41.4854 		PSNR = 36.57	(Time: 57.921628)
Epoch #152: Loss =      42.1979 		PSNR = 36.55	(Time: 57.707705)
Epoch #153: Loss =      42.1846 		PSNR = 36.55	(Time: 57.323573)
Epoch #154: Loss =      41.1925 		PSNR = 36.51	(Time: 57.577128)
Epoch #155: Loss =      41.0847 		PSNR = 36.61	(Time: 57.669976)
Epoch #156: Loss =      41.7166 		PSNR = 36.58	(Time: 57.290610)
Epoch #157: Loss =      40.1430 		PSNR = 36.57	(Time: 56.991116)
Epoch #158: Loss =      43.3042 		PSNR = 36.55	(Time: 57.940527)
Epoch #159: Loss =      41.2883 		PSNR = 36.53	(Time: 57.727564)
Epoch #160: Loss =      41.0573 		PSNR = 36.59	(Time: 57.657215)
Epoch #161: Loss =      40.6992 		PSNR = 36.62	(Time: 57.764167)
Epoch #162: Loss =      39.5965 		PSNR = 36.50	(Time: 57.859884)
Epoch #163: Loss =      40.0604 		PSNR = 36.52	(Time: 57.669696)
Epoch #164: Loss =      39.8430 		PSNR = 36.63	(Time: 57.688502)
Epoch #165: Loss =      40.1648 		PSNR = 36.62	(Time: 57.532223)
Epoch #166: Loss =      41.5872 		PSNR = 36.61	(Time: 57.968409)
Epoch #167: Loss =      39.6134 		PSNR = 36.67	(Time: 57.750284)
Epoch #168: Loss =      39.2305 		PSNR = 36.66	(Time: 57.683197)
Epoch #169: Loss =      40.6208 		PSNR = 36.64	(Time: 57.456235)
Epoch #170: Loss =      39.8254 		PSNR = 36.65	(Time: 57.742618)
Epoch #171: Loss =      42.4341 		PSNR = 36.58	(Time: 57.589788)
Epoch #172: Loss =      41.0184 		PSNR = 36.57	(Time: 58.288951)
Epoch #173: Loss =      43.8066 		PSNR = 36.55	(Time: 57.568285)
Epoch #174: Loss =      42.7808 		PSNR = 36.64	(Time: 57.462894)
Epoch #175: Loss =      38.9127 		PSNR = 36.65	(Time: 57.567122)
Epoch #176: Loss =      42.1530 		PSNR = 36.82	(Time: 57.261431)
Epoch #177: Loss =      40.0521 		PSNR = 36.81	(Time: 57.172957)
Epoch #178: Loss =      39.3990 		PSNR = 36.81	(Time: 57.148777)
Epoch #179: Loss =      41.0506 		PSNR = 36.80	(Time: 57.172871)
Epoch #180: Loss =      40.0343 		PSNR = 36.80	(Time: 57.861405)
Epoch #181: Loss =      39.9007 		PSNR = 36.73	(Time: 57.816715)
Epoch #182: Loss =      38.9437 		PSNR = 36.69	(Time: 57.921843)
Epoch #183: Loss =      40.0195 		PSNR = 36.74	(Time: 57.618259)
Epoch #184: Loss =      40.0727 		PSNR = 36.74	(Time: 57.721560)
Epoch #185: Loss =      40.0171 		PSNR = 36.70	(Time: 57.682310)
Epoch #186: Loss =      39.4659 		PSNR = 36.78	(Time: 57.092285)
Epoch #187: Loss =      38.4827 		PSNR = 36.81	(Time: 56.877106)
Epoch #188: Loss =      38.4476 		PSNR = 36.74	(Time: 56.981159)
Epoch #189: Loss =      39.9539 		PSNR = 36.73	(Time: 57.212304)
Epoch #190: Loss =      37.5858 		PSNR = 36.77	(Time: 57.117779)
Epoch #191: Loss =      39.2563 		PSNR = 36.87	(Time: 58.042227)
Epoch #192: Loss =      41.4833 		PSNR = 36.82	(Time: 57.639926)
Epoch #193: Loss =      40.8052 		PSNR = 36.80	(Time: 57.676543)
Epoch #194: Loss =      37.7094 		PSNR = 36.85	(Time: 57.722935)
Epoch #195: Loss =      37.2998 		PSNR = 36.89	(Time: 57.533548)
Epoch #196: Loss =      43.3075 		PSNR = 36.78	(Time: 57.240085)
Epoch #197: Loss =      38.9003 		PSNR = 36.89	(Time: 57.443517)
Epoch #198: Loss =      39.6481 		PSNR = 36.85	(Time: 57.459737)
Epoch #199: Loss =      38.0411 		PSNR = 36.87	(Time: 57.597508)
Epoch #200: Loss =      37.0357 		PSNR = 36.90	(Time: 57.751544)
Epoch #201: Loss =      38.6636 		PSNR = 36.87	(Time: 57.402765)
Epoch #202: Loss =      38.7741 		PSNR = 36.89	(Time: 57.503360)
Epoch #203: Loss =      37.8838 		PSNR = 36.85	(Time: 57.570187)
Epoch #204: Loss =      37.9520 		PSNR = 36.84	(Time: 57.690744)
Epoch #205: Loss =      36.8542 		PSNR = 36.88	(Time: 57.820283)
Epoch #206: Loss =      38.2654 		PSNR = 36.91	(Time: 59.318656)
Epoch #207: Loss =      37.6408 		PSNR = 36.93	(Time: 57.732866)
Epoch #208: Loss =      37.1311 		PSNR = 36.96	(Time: 57.623810)
Epoch #209: Loss =      37.0580 		PSNR = 36.95	(Time: 57.749724)
Epoch #210: Loss =      38.1813 		PSNR = 36.83	(Time: 57.645387)
Epoch #211: Loss =      38.8537 		PSNR = 36.86	(Time: 58.043246)
Epoch #212: Loss =      38.8992 		PSNR = 36.69	(Time: 59.725540)
Epoch #213: Loss =      36.8536 		PSNR = 36.90	(Time: 57.468952)
Epoch #214: Loss =      36.5211 		PSNR = 36.91	(Time: 57.487262)
Epoch #215: Loss =      36.8633 		PSNR = 36.89	(Time: 57.661108)
Epoch #216: Loss =      40.2509 		PSNR = 36.81	(Time: 57.411770)
Epoch #217: Loss =      38.3126 		PSNR = 36.82	(Time: 57.637453)
Epoch #218: Loss =      37.9456 		PSNR = 36.95	(Time: 59.622680)
Epoch #219: Loss =      36.8684 		PSNR = 36.97	(Time: 57.855111)
Epoch #220: Loss =      37.1177 		PSNR = 36.93	(Time: 57.722945)
Epoch #221: Loss =      40.5302 		PSNR = 36.94	(Time: 57.687273)
Epoch #222: Loss =      40.7471 		PSNR = 36.94	(Time: 57.654574)
Epoch #223: Loss =      37.9709 		PSNR = 36.97	(Time: 57.744449)
Epoch #224: Loss =      38.7594 		PSNR = 36.97	(Time: 59.586152)
Epoch #225: Loss =      36.9494 		PSNR = 36.97	(Time: 57.549320)
Epoch #226: Loss =      37.8106 		PSNR = 37.06	(Time: 57.323321)
Epoch #227: Loss =      37.3287 		PSNR = 37.04	(Time: 57.752700)
Epoch #228: Loss =      37.8890 		PSNR = 36.96	(Time: 57.813950)
Epoch #229: Loss =      38.5029 		PSNR = 36.99	(Time: 57.612483)
Epoch #230: Loss =      37.8400 		PSNR = 37.04	(Time: 57.723402)
Epoch #231: Loss =      37.3724 		PSNR = 36.90	(Time: 57.969879)
Epoch #232: Loss =      35.8322 		PSNR = 36.87	(Time: 57.585748)
Epoch #233: Loss =      37.6597 		PSNR = 36.89	(Time: 57.618464)
Epoch #234: Loss =      37.3119 		PSNR = 36.85	(Time: 57.426716)
Epoch #235: Loss =      36.3544 		PSNR = 36.85	(Time: 57.619280)
Epoch #236: Loss =      36.2269 		PSNR = 36.98	(Time: 57.617702)
Epoch #237: Loss =      37.3068 		PSNR = 37.00	(Time: 57.732670)
Epoch #238: Loss =      37.5934 		PSNR = 36.92	(Time: 57.438970)
Epoch #239: Loss =      36.0566 		PSNR = 36.98	(Time: 57.584800)
Epoch #240: Loss =      36.9944 		PSNR = 36.80	(Time: 57.822497)
Epoch #241: Loss =      38.5495 		PSNR = 37.00	(Time: 57.931633)
Epoch #242: Loss =      38.0618 		PSNR = 37.02	(Time: 57.384076)
Epoch #243: Loss =      39.0244 		PSNR = 36.93	(Time: 57.738094)
Epoch #244: Loss =      35.8986 		PSNR = 37.05	(Time: 57.628298)
Epoch #245: Loss =      36.2065 		PSNR = 37.02	(Time: 57.554247)
Epoch #246: Loss =      41.9525 		PSNR = 36.87	(Time: 57.031628)
Epoch #247: Loss =      49.0813 		PSNR = 36.63	(Time: 57.195405)
Epoch #248: Loss =      39.0254 		PSNR = 36.86	(Time: 57.293626)
Epoch #249: Loss =      36.7228 		PSNR = 36.97	(Time: 57.195976)
Epoch #250: Loss =      41.9268 		PSNR = 36.83	(Time: 57.930459)
Epoch #251: Loss =      43.3475 		PSNR = 36.88	(Time: 57.942380)
Epoch #252: Loss =      40.9312 		PSNR = 36.92	(Time: 57.394655)
Epoch #253: Loss =      41.4959 		PSNR = 36.84	(Time: 57.491983)
Epoch #254: Loss =      38.4033 		PSNR = 36.96	(Time: 57.650788)
Epoch #255: Loss =      37.1148 		PSNR = 36.96	(Time: 57.486759)
Epoch #256: Loss =      39.0785 		PSNR = 36.96	(Time: 57.350261)
Epoch #257: Loss =      37.4567 		PSNR = 37.01	(Time: 57.037985)
Epoch #258: Loss =      36.0534 		PSNR = 36.89	(Time: 55.977590)
Epoch #259: Loss =      36.1961 		PSNR = 36.95	(Time: 57.145614)
Epoch #260: Loss =      34.1049 		PSNR = 37.05	(Time: 57.228683)
Epoch #261: Loss =      36.6517 		PSNR = 37.11	(Time: 57.285997)
Epoch #262: Loss =      37.3864 		PSNR = 37.11	(Time: 57.937177)
Epoch #263: Loss =      36.6343 		PSNR = 37.14	(Time: 57.750484)
Epoch #264: Loss =      38.0518 		PSNR = 37.05	(Time: 57.800737)
Epoch #265: Loss =      36.4390 		PSNR = 37.04	(Time: 57.898011)
Epoch #266: Loss =      37.8902 		PSNR = 37.08	(Time: 57.765624)
Epoch #267: Loss =      34.3666 		PSNR = 37.14	(Time: 57.726868)
Epoch #268: Loss =      35.7002 		PSNR = 37.16	(Time: 57.711217)
Epoch #269: Loss =      35.3020 		PSNR = 37.06	(Time: 57.593426)
Epoch #270: Loss =      36.3734 		PSNR = 37.10	(Time: 57.378625)
Epoch #271: Loss =      36.7679 		PSNR = 37.13	(Time: 57.982616)
Epoch #272: Loss =      35.6958 		PSNR = 37.14	(Time: 57.526360)
Epoch #273: Loss =      35.4521 		PSNR = 37.18	(Time: 57.535558)
Epoch #274: Loss =      35.4636 		PSNR = 37.15	(Time: 57.621291)
Epoch #275: Loss =      34.3692 		PSNR = 37.16	(Time: 57.547998)
Epoch #276: Loss =      36.9631 		PSNR = 37.19	(Time: 57.669676)
Epoch #277: Loss =      36.6620 		PSNR = 37.22	(Time: 57.097361)
Epoch #278: Loss =      39.6594 		PSNR = 37.16	(Time: 57.146468)
Epoch #279: Loss =      36.2563 		PSNR = 37.19	(Time: 57.055082)
Epoch #280: Loss =      34.3692 		PSNR = 37.24	(Time: 57.605453)
Epoch #281: Loss =      35.1878 		PSNR = 37.16	(Time: 58.111258)
Epoch #282: Loss =      35.0725 		PSNR = 37.12	(Time: 59.582989)
Epoch #283: Loss =      35.4657 		PSNR = 37.15	(Time: 57.502864)
Epoch #284: Loss =      34.5373 		PSNR = 37.04	(Time: 57.685853)
Epoch #285: Loss =      33.4272 		PSNR = 37.17	(Time: 57.731249)
Epoch #286: Loss =      35.9172 		PSNR = 37.24	(Time: 57.529175)
Epoch #287: Loss =      35.4181 		PSNR = 37.18	(Time: 57.650398)
Epoch #288: Loss =      35.6691 		PSNR = 37.20	(Time: 59.607480)
Epoch #289: Loss =      33.7198 		PSNR = 37.24	(Time: 57.645972)
Epoch #290: Loss =      33.4702 		PSNR = 37.26	(Time: 57.702830)
Epoch #291: Loss =      34.8639 		PSNR = 37.22	(Time: 57.774824)
Epoch #292: Loss =      33.9495 		PSNR = 37.27	(Time: 57.416155)
Epoch #293: Loss =      33.7602 		PSNR = 37.24	(Time: 58.388019)
Epoch #294: Loss =      34.4188 		PSNR = 37.24	(Time: 57.813583)
Epoch #295: Loss =      32.7236 		PSNR = 37.22	(Time: 57.487521)
Epoch #296: Loss =      35.2329 		PSNR = 37.25	(Time: 58.144195)
Epoch #297: Loss =      35.8178 		PSNR = 37.00	(Time: 57.408020)
Epoch #298: Loss =      34.8865 		PSNR = 37.12	(Time: 57.364427)
Epoch #299: Loss =      37.0780 		PSNR = 37.06	(Time: 58.006764)
Epoch #300: Loss =      33.4969 		PSNR = 37.20	(Time: 57.727100)
Epoch #301: Loss =      34.7705 		PSNR = 37.15	(Time: 57.837977)
Epoch #302: Loss =      35.9184 		PSNR = 37.13	(Time: 57.700087)
Epoch #303: Loss =      34.7433 		PSNR = 37.21	(Time: 57.668114)
Epoch #304: Loss =      34.2269 		PSNR = 37.19	(Time: 57.771372)
Epoch #305: Loss =      34.1554 		PSNR = 37.22	(Time: 57.579293)
Epoch #306: Loss =      36.6036 		PSNR = 37.04	(Time: 58.100855)
Epoch #307: Loss =      36.1165 		PSNR = 37.09	(Time: 58.097748)
Epoch #308: Loss =      35.9574 		PSNR = 37.08	(Time: 57.952742)
Epoch #309: Loss =      34.0491 		PSNR = 37.14	(Time: 57.944300)
Epoch #310: Loss =      36.9670 		PSNR = 37.10	(Time: 58.150992)
Epoch #311: Loss =      34.1353 		PSNR = 37.19	(Time: 58.117438)
Epoch #312: Loss =      33.2851 		PSNR = 37.21	(Time: 57.921977)
Epoch #313: Loss =      33.1612 		PSNR = 37.21	(Time: 57.957665)
Epoch #314: Loss =      32.8250 		PSNR = 37.26	(Time: 57.665602)
Epoch #315: Loss =      32.7718 		PSNR = 37.27	(Time: 57.859313)
Epoch #316: Loss =      33.3866 		PSNR = 37.25	(Time: 57.624677)
Epoch #317: Loss =      32.4576 		PSNR = 37.23	(Time: 57.359818)
Epoch #318: Loss =      33.8888 		PSNR = 37.11	(Time: 57.361794)
Epoch #319: Loss =      33.0635 		PSNR = 37.20	(Time: 57.386083)
Epoch #320: Loss =      32.9609 		PSNR = 37.21	(Time: 57.342024)
Epoch #321: Loss =      35.0203 		PSNR = 37.16	(Time: 58.171949)
Epoch #322: Loss =      31.5219 		PSNR = 37.29	(Time: 57.809455)
Epoch #323: Loss =      31.3260 		PSNR = 37.27	(Time: 57.341270)
Epoch #324: Loss =      31.2505 		PSNR = 37.25	(Time: 57.542892)
Epoch #325: Loss =      33.3492 		PSNR = 37.20	(Time: 57.640362)
Epoch #326: Loss =      34.5491 		PSNR = 37.10	(Time: 58.046151)
Epoch #327: Loss =      32.5125 		PSNR = 37.07	(Time: 57.834401)
Epoch #328: Loss =      33.0674 		PSNR = 37.14	(Time: 58.008164)
Epoch #329: Loss =      31.7776 		PSNR = 37.16	(Time: 57.918407)
Epoch #330: Loss =      31.1409 		PSNR = 37.20	(Time: 57.899686)
Epoch #331: Loss =      34.7215 		PSNR = 37.19	(Time: 57.946588)
Epoch #332: Loss =      33.3879 		PSNR = 37.25	(Time: 57.918628)
Epoch #333: Loss =      33.6453 		PSNR = 37.25	(Time: 58.116687)
Epoch #334: Loss =      32.5306 		PSNR = 37.12	(Time: 57.621186)
Epoch #335: Loss =      31.1580 		PSNR = 37.23	(Time: 57.747847)
Epoch #336: Loss =      33.4616 		PSNR = 37.18	(Time: 58.104204)
Epoch #337: Loss =      31.7611 		PSNR = 37.27	(Time: 57.828776)
Epoch #338: Loss =      31.3380 		PSNR = 37.18	(Time: 57.896530)
Epoch #339: Loss =      30.4713 		PSNR = 37.23	(Time: 57.800868)
Epoch #340: Loss =      30.6893 		PSNR = 37.24	(Time: 58.425538)
Epoch #341: Loss =      37.2963 		PSNR = 37.23	(Time: 58.028565)
Epoch #342: Loss =      33.4995 		PSNR = 37.29	(Time: 58.151524)
Epoch #343: Loss =      33.2862 		PSNR = 37.34	(Time: 57.657947)
Epoch #344: Loss =      32.4727 		PSNR = 37.28	(Time: 57.804427)
Epoch #345: Loss =      33.4662 		PSNR = 37.32	(Time: 58.138421)
Epoch #346: Loss =      33.0533 		PSNR = 37.31	(Time: 58.429330)
Epoch #347: Loss =      32.4797 		PSNR = 37.25	(Time: 57.918758)
Epoch #348: Loss =      31.7990 		PSNR = 37.30	(Time: 57.828891)
Epoch #349: Loss =      32.4261 		PSNR = 37.31	(Time: 57.823270)
Epoch #350: Loss =      31.2551 		PSNR = 37.34	(Time: 57.921618)
Epoch #351: Loss =      37.0410 		PSNR = 37.16	(Time: 57.487563)
Epoch #352: Loss =      32.8959 		PSNR = 37.25	(Time: 57.295862)
Epoch #353: Loss =      33.1868 		PSNR = 37.31	(Time: 57.289748)
Epoch #354: Loss =      33.8857 		PSNR = 37.27	(Time: 58.020274)
Epoch #355: Loss =      33.6165 		PSNR = 37.16	(Time: 57.820784)
Epoch #356: Loss =      32.9279 		PSNR = 37.21	(Time: 58.156729)
Epoch #357: Loss =      31.6063 		PSNR = 37.12	(Time: 57.786030)
Epoch #358: Loss =      31.6569 		PSNR = 37.27	(Time: 58.111845)
